#Estrela,ra,dec,dist,RV,pmra,pmdec,e,zmax,Rmax,Rmin
Star_1,1.98964807361,33.9948327311,27.13065,-233.6,0.827046682803,-0.448701106738,0.977383723342,30.3814044558,32.0343289132,0.366391832149
Star_2,13.4573763126,46.4358273416,10.307875,-245.3,-0.740711866486,0.124365952198,0.516795326978,8.53017448638,22.9810286819,7.32105396979
Star_3,14.9206438867,46.2425555179,27.188265,-165.6,-0.150602655132,0.06427562471,0.113817269885,13.2595655489,33.4433944315,26.6084566858
Star_4,15.5392909573,46.7236505649,36.03354,-144.0,1.88109859036,-0.763540096767,0.248989551154,19.7425584192,56.5836669272,34.0234432363
Star_5,18.8310358323,47.2309065438,20.8623,-162.4,-0.294401644111,-0.0214480000356,0.138611703703,8.31009913901,28.9732567185,21.9189950022
Star_6,42.2454287833,43.2043035455,17.42476,-139.5,0.195160005607,-0.199232512754,0.229866150823,6.16168173131,27.3574891062,17.131074284
Star_7,358.476702895,34.8326317096,10.80103,-118.6,-0.435154395565,-0.72146712774,0.243545015589,5.66621847753,15.3036412831,9.30928561742
Star_8,357.068276221,31.4936597299,28.29612,-196.9,1.20490390308,-0.991793084288,0.687794605181,24.2457136415,31.4120347922,5.81054513046
Star_9,38.7839534783,44.923948537,29.371555,-139.7,0.179846605799,-0.173845861431,0.209443682439,9.13118567255,37.4550849159,24.4826232383
Star_10,357.492024641,34.7658028926,8.82534,-43.4,1.7531763408,-0.488059459844,0.59862316701,5.36450579768,16.9312748028,4.25104652494
Star_11,42.7646126629,43.7012095068,16.0105,-106.2,-0.0611055720732,-0.230472486879,0.0944689457122,4.39305926688,25.0394005554,20.7168553046
Star_12,41.976775243,44.4908298818,28.862035,-145.2,0.165554007866,-0.263645213737,0.248727830435,7.71433761168,38.396050416,23.1002171936
Star_13,41.6348367031,43.2467319171,25.387905,-182.1,1.44532306502,-1.22423429135,0.862068916556,8.09146786943,33.7025308299,2.49648471699
Star_GCS1,1.280833,-52.151667,0.041911,34.3,-111.0,-131.0,0.178495291266,0.137278599238,9.21927090235,6.4265631891
Star_GCS2,1.368333,-61.225833,0.051177,6.3,84.0,-78.0,0.0733463128323,0.121568065541,7.98324566753,6.89218749339
Star_GCS3,1.477917,18.235,0.037133,-45.6,-149.0,-151.0,0.210941111019,0.4079455217,9.0435539909,5.89285193108
Star_GCS4,1.46875,-41.753056,0.039385,1.6,99.0,-76.0,0.0450699566097,0.0808923617223,7.99190142675,7.30257982057
Star_GCS5,1.608333,42.7525,0.10661,-31.8,78.0,-1.0,0.17183050612,0.148869510818,8.09157830652,5.7185730153
